TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,W/G,AVRB,BOTH
Michigan_St,B10,31,14,114.8,91.3,0.9326,52.6,43.3,18.1,15.8,32.8,26,30.8,29.3,52.9,43.4,34.8,28.7,69.3,5.2,45.16,29.4,23.5
Ohio_St,B10,31,11,114.6,92.6,0.92,52.3,46.2,19.1,18.3,31.1,25.5,36.7,29.3,49.7,44.2,37.3,32.7,66.2,3.8,35.48,28.3,22
Michigan,B10,31,10,113,93.1,0.9028,52.8,46.9,15.3,16.1,25,25.5,26.7,26.4,54.1,46.3,33.9,32.3,68.6,2.8,32.26,25.25,19.9
Penn_St,B10,31,11,111.4,91.9,0.9019,49.5,46.4,15.8,18.6,29.2,27.6,31,31.8,50,45.2,32.5,32.5,70.9,3.4,35.48,28.4,19.5
Wisconsin,B10,31,14,110.9,92,0.8952,50.3,46.4,15.4,16.9,24.1,25.9,26.9,25.3,48.3,44.9,35.2,33.1,63.5,4.2,45.16,25,18.9
Purdue,B10,31,9,109.6,91.6,0.887,47.8,47.1,17.4,20.4,34.9,27.2,25.8,31.9,46.7,48.1,33,30.5,64.3,-0.6,29.03,31.05,18
Maryland,B10,31,14,112.6,94.7,0.8797,48.6,46.1,16.7,17.3,31.5,26.6,37.7,24.2,50.1,44.5,31.1,32.5,67.1,6.8,45.16,29.05,17.9
Minnesota,B10,31,8,111.9,94.4,0.8764,49.4,45.6,16.7,15.8,31.3,27.9,27.5,28,48.6,45.4,33.7,30.7,66.8,-1.5,25.81,29.6,17.5
Illinois,B10,30,13,110.9,93.9,0.8719,48.3,47,17.9,16.6,35.6,25.7,32.2,23.9,49.6,45.8,30.3,33,66.3,3,43.33,30.65,17
Rutgers,B10,30,11,107.5,91,0.8711,48.9,45.1,17.9,18.9,32,25.4,29.1,27.5,50.1,43.8,30.8,31.2,67.3,1.6,36.67,28.7,16.5
Iowa,B10,31,11,117.2,99.7,0.8653,51.6,49.4,17.1,17.6,32,29.5,34.4,26.8,51.3,50.3,34.7,32.1,70.1,3.3,35.48,30.75,17.5
Indiana,B10,32,9,108.1,93.3,0.8444,49.3,47.9,18.3,17.8,32.4,24.5,39.2,32.6,49.5,47.6,32.6,32.2,67.9,1.8,28.13,28.45,14.8
Northwestern,B10,31,3,105.4,100,0.6469,46.9,49.2,15.6,15.8,22,29.3,25.8,28.6,46.9,47.9,31.2,34,66.5,-9,9.68,25.65,5.4
Nebraska,B10,32,2,101.4,100.5,0.5281,46.8,51.5,16,18.7,22.3,33,29,21.8,46.3,52.5,31.8,33.3,73,-10.4,6.25,27.65,0.9
